Year,Month,Day,Flag Tsunami,Flag Earthquake,Volcano Name,Location,Country,Elevation,Volcano Type,Status,Volcanic Explosivity Index,Volcano : Deaths,Volcano : Deaths Description,Volcano : Missing,Volcano : Missing Description,Volcano : Injuries,Volcano : Injuries Description,Volcano : Damage (in M$),Volcano : Damage Description,Volcano : Houses destroyed,Volcano : Houses destroyed Description,Total Effects : Deaths,Total Effects : Deaths Description,Total Effects : Missing,Total Effects : Missing Description,Total Effects : Injuries,Total Effects : Injuries Description,Total Effects : Damages in million Dollars,Total Effects : Damage Description,Total Effects : Houses Destroyed,Total Effects : Houses Destroyed Description,Coordinates,Earthquakes : Houses damaged Description,Total Effects : Houses Damaged Description
2002,12,30,Tsunami,,Stromboli,Italy,Italy,926,Stratovolcano,Historical,,,,,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),38789,15213,
2003,7,12,Tsunami,,Soufriere Hills,W Indies,Montserrat,915,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,16.72,-62.18,
2010,1,,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-1467,-78442,
2018,6,3,,,Fuego,Guatemala,Guatemala,3763,Stratovolcano,Historical,2,201,Many (~101 to 1000 deaths),229.0,Many (~101 to 1000 deaths),27.0,Few (~1 to 50 deaths),120.0,EXTREME (~$25 million or more),186,Many (~101 to 1000 houses),201,Many (~101 to 1000 deaths),229.0,Many (~101 to 1000 deaths),27.0,Few (~1 to 50 deaths),120,EXTREME (~$25 million or more),186,Many (~101 to 1000 houses),14473,-90.88,
-1050,,,,,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,15.13,120.35,
764,,,,,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,4,80,Some (~51 to 100 deaths),,,,,,,,,80,Some (~51 to 100 deaths),,,,,,,,,31.58,130.67,
766,7,20,Tsunami,Earthquake,Sakura-jima,Kyushu-Japan,Japan,1117,Stratovolcano,Historical,3,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,31.58,130.67,
1760,,,,,Makian,Halmahera-Indonesia,Indonesia,1357,Stratovolcano,Historical,4,2000,Very Many (~1001 or more deaths),,,,,,,,,2000,Very Many (~1001 or more deaths),,,,,,,,,0.32,127.4,
1766,4,5,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.98,-19.7,
1790,11,,,,Kilauea,Hawaiian Is,United States,1222,Shield volcano,Historical,4,5405,Very Many (~1001 or more deaths),,,,,,,,,5405,Very Many (~1001 or more deaths),,,,,,,,,19425,-155292,
1803,7,4,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1813,5,,Tsunami,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,2,,,,,,,,,,,,,,,,,,,,,40821,14426,
1825,3,21,,,Shishaldin,Aleutian Is,United States,2857,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,54.75,-163.97,
1869,8,,,,Lamongan,Java,Indonesia,1651,Stratovolcano,Historical,2,8,Few (~1 to 50 deaths),,,,,,,,,8,Few (~1 to 50 deaths),,,,,,,,,-8.0,113342,
1883,10,10,Tsunami,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,,,,,,,,,,,,,,,,,,,,,,-6102,105423,
1900,1,22,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,2,25,Few (~1 to 50 deaths),,,,,,,,,25,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1914,9,10,,,White Island,New Zealand,New Zealand,321,Stratovolcano,Historical,,11,Few (~1 to 50 deaths),,,,,,,,,11,Few (~1 to 50 deaths),,,,,,,,,-37.52,177.18,
1928,8,4,Tsunami,,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,3,98,Some (~51 to 100 deaths),,,,,,,,,226,Many (~101 to 1000 deaths),,,200.0,Many (~101 to 1000 deaths),,,,Some (~51 to 100 houses),-8.32,121708,
1952,9,24,Tsunami,,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,2,31,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,31,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,32.1,139.85,
1953,6,,,,Sirung,Lesser Sunda Is,Indonesia,862,Complex volcano,Historical,0,5,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,5,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,,,-8.51,124148,
1963,5,21,,,Villarrica,Chile-C,Chile,2847,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-39.42,-71.93,
1976,11,25,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,2,29,Few (~1 to 50 deaths),,,,,,,,,29,Few (~1 to 50 deaths),,,,,,,,,-7542,110442,
1977,8,7,,,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,3,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,42.53,140.83,
1980,5,18,Tsunami,Earthquake,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,5,57,Some (~51 to 100 deaths),,,,,2000.0,EXTREME (~$25 million or more),,,61,Some (~51 to 100 deaths),,,,,2000,EXTREME (~$25 million or more),,,46.2,-122.18,
1981,,,,,Vilyuchik,Kamchatka,Russia,2173,Stratovolcano,Tephrochronology,,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,52.68,158.3,
1985,11,13,,,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,3,23080,Very Many (~1001 or more deaths),,,10000.0,Very Many (~1001 or more deaths),,,,,23080,Very Many (~1001 or more deaths),,,10000.0,Very Many (~1001 or more deaths),,,,,4895,-75322,
1990,2,2,,,Shiveluch,Kamchatka,Russia,3283,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,56653,161.36,
1990,7,19,,,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,3,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,14756,-91552,
1995,2,4,,,Yasur,Vanuatu-SW Pacific,Vanuatu,361,Stratovolcano,Historical,3,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,-19.52,169425,
2006,6,14,,,Merapi,Java,Indonesia,2947,Stratovolcano,Historical,1,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,-7542,110442,
2010,3,31,,,Eyjafjallajokull,Iceland-S,Iceland,1666,Stratovolcano,Historical,2,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,63.63,-19.62,
2010,11,,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-1467,-78442,
2011,7,9,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.63,-19.05,
2015,2,20,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),3.17,98392,
2018,12,15,,Earthquake,Ambrym,Vanuatu-SW Pacific,Vanuatu,1334,Pyroclastic shield,Historical,2,,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),,,,,,,,MODERATE (~$1 to $5 million),,Few (~1 to 50 houses),-16.25,168.12,
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,1807,Stratovolcano,Historical,4,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,-4.1,145061,
-3550,,,,,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,6,,,,,,,,,,,,,,,,,,,,,15.13,120.35,
1050,,,Tsunami,,Santorini,Greece,Greece,329,Shield volcano,Historical,,,,,,,,,,,,,,,,,,,,,,36404,25396,
1177,,,,,Katla,Iceland-S,Iceland,1512,Subglacial volcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,63.63,-19.05,
1595,3,12,,,Ruiz,Colombia,Colombia,5321,Stratovolcano,Historical,4,636,Many (~101 to 1000 deaths),,,,,,,,,636,Many (~101 to 1000 deaths),,,,,,,,,4895,-75322,
1598,,,,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,3,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,-4525,129871,
1638,,,,,Raung,Java,Indonesia,3332,Stratovolcano,Historical,4,1001,Very Many (~1001 or more deaths),,,,,,,,,1001,Very Many (~1001 or more deaths),,,,,,,,,-8125,114042,
1659,9,30,,Earthquake,San Salvador,El Salvador,El Salvador,1893,Stratovolcano,Historical,3,,,,,,,,,,,,,,,,,,,,,13736,-89286,
1684,12,,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,64.42,-17.33,
1693,2,13,Tsunami,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,,,,,,,,,,,,,,,,,,,,,63.98,-19.7,
1694,11,20,,,Banda Api,Banda Sea,Pacific Ocean,640,Caldera,Historical,3,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-4525,129871,
1794,6,15,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,3,400,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,400,Many (~101 to 1000 deaths),,,,,,SEVERE (~>$5 to $24 million),,,40821,14426,
1800,6,24,,,San Jorge,Azores,Portugal,1053,Fissure vent,Historical,1,9,Few (~1 to 50 deaths),,,,,,,,,9,Few (~1 to 50 deaths),,,,,,,,,38.65,-28.08,
1816,7,5,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1817,1,24,,,Ijen,Java,Indonesia,2799,Stratovolcano,Historical,2,,Some (~51 to 100 deaths),,,,,,,90,Some (~51 to 100 houses),,Some (~51 to 100 deaths),,,,,,,90,Some (~51 to 100 houses),-8058,114242,
1825,,,,,Balbi,Bougainville-SW Paci,Papua New Guinea,2715,Stratovolcano,Holocene,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-5.83,154.98,
1846,11,18,,,E-san,Hokkaido-Japan,Japan,618,Stratovolcano,Historical,1,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,41.8,141.17,
1875,,,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,1500,Very Many (~1001 or more deaths),,,,,,,,,1500,Very Many (~1001 or more deaths),,,,,,,,,13257,123685,
1889,9,6,Tsunami,Earthquake,Banua Wuhu,Sangihe Is-Indonesia,Indonesia,-5,Submarine volcano,Historical,2,,,,,,,,,,,,,,,,,,,,,3138,125491,
1912,9,6,,,Novarupta,Alaska Peninsula,United States,841,Caldera,Historical,6,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,58.27,-155.16,
1953,7,26,,,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,,10,Few (~1 to 50 deaths),,,,,,,,,10,Few (~1 to 50 deaths),,,,,,,,,35.22,139.02,
1961,6,18,,,Daisetsu,Hokkaido-Japan,Japan,2290,Stratovolcano,Tephrochronology,,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,43.68,142.88,
1964,12,13,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,1,114,Many (~101 to 1000 deaths),,,,,,,,,114,Many (~101 to 1000 deaths),,,,,,,,,-7.2,109.92,
1965,10,24,Tsunami,,Kick-'em-Jenny,W Indies,Netherlands,-177,Submarine volcano,Historical,0,,,,,,,,,,,,,,,,,,,,,12.3,-61.63,
1971,9,6,Tsunami,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,851,Stratovolcano,Historical,2,,,,,,,,,,,,,,,,,,,,,-10.38,165.8,
1976,8,31,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,119,Many (~101 to 1000 deaths),,,,,,,,,119,Many (~101 to 1000 deaths),,,,,,,,,-8108,112.92,
1976,9,15,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,24,Few (~1 to 50 houses),1,Few (~1 to 50 deaths),,,1.0,Few (~1 to 50 deaths),,,24,Few (~1 to 50 houses),2.78,125.48,
1978,9,2,,,Santa Maria,Guatemala,Guatemala,3772,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,14756,-91552,
1983,3,8,,,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,56057,160638,
1986,11,15,,,Oshima,Izu Is-Japan,Japan,758,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,34.73,139.38,
1992,1,21,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,2,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,2.78,125.48,
2002,1,3,,,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,1784,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Few (~1 to 50 houses),2.78,125.48,
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,875,Stratovolcano,Historical,3,5,Few (~1 to 50 deaths),,,,,,,,,5,Few (~1 to 50 deaths),,,,,,,,,-8.32,121708,
2013,9,15,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,2,,,,,,,,MODERATE (~$1 to $5 million),,,,,,,,,,MODERATE (~$1 to $5 million),,,3.17,98392,
2017,4,13,,,Sinabung,Sumatra,Indonesia,2460,Stratovolcano,Holocene,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Some (~51 to 100 houses),,,,,,,,LIMITED (roughly corresponding to less than $1 million),,Some (~51 to 100 houses),3.17,98392,
2018,12,22,Tsunami,,Krakatau,Indonesia,Indonesia,813,Caldera,Historical,1,,,,,,,,,,,437,Many (~101 to 1000 deaths),10.0,Few (~1 to 50 deaths),31943.0,Very Many (~1001 or more deaths),250,EXTREME (~$25 million or more),2844,Very Many (~1001 or more houses),-6102,105423,
2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,2334,Stratovolcano,Historical,,,,,,2.0,Few (~1 to 50 deaths),14.0,SEVERE (~>$5 to $24 million),,,,,,,2.0,Few (~1 to 50 deaths),14,SEVERE (~>$5 to $24 million),,,-5.05,151.33,
450,,,,,Ilopango,El Salvador,El Salvador,450,Caldera,Historical,6,30000,Very Many (~1001 or more deaths),,,,,,,,,30000,Very Many (~1001 or more deaths),,,,,,,,,13672,-89053,
1565,8,,,Earthquake,Pacaya,Guatemala,Guatemala,2552,Complex volcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,14381,-90601,
1716,11,9,,,Kirishima,Kyushu-Japan,Japan,1700,Shield volcano,Historical,3,1,Few (~1 to 50 deaths),,,31.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,31.0,Few (~1 to 50 deaths),,,,,31.93,130.87,
1721,6,22,,,Asama,Honshu-Japan,Japan,2560,Complex volcano,Historical,1,15,Few (~1 to 50 deaths),,,,,,,,,15,Few (~1 to 50 deaths),,,,,,,,,36.4,138.53,
1762,,,,,Kliuchevskoi,Kamchatka,Russia,4835,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,56057,160638,
1784,7,,,,Sabancaya,Peru,Peru,5967,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-15.78,-71.85,
1786,,,,,Dieng Volc Complex,Java,Indonesia,2565,Complex volcano,Historical,2,38,Few (~1 to 50 deaths),,,,,,,,Some (~51 to 100 houses),38,Few (~1 to 50 deaths),,,,,,,,Some (~51 to 100 houses),-7.2,109.92,
1800,10,8,,,Guntur,Java,Indonesia,2249,Complex volcano,Historical,,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-7.13,107.83,
1800,,,,,Hualalai,Hawaiian Is,United States,2523,Shield volcano,Historical,0,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,19692,-155.87,
1839,2,12,Tsunami,,Unnamed,Chile-Is,Chile,-642,Submarine volcano,Uncertain,2,,,,,,,,,,,,,,,,,,,,,-33.62,-76.83,
1861,5,,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,64.42,-17.33,
1878,1,,Tsunami,Earthquake,Rabaul,New Britain-SW Pac,Papua New Guinea,688,Pyroclastic shield,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-4271,152203,
1901,5,22,,,Kelut,Java,Indonesia,1731,Stratovolcano,Historical,3,,Some (~51 to 100 deaths),,,,,,,,,,Some (~51 to 100 deaths),,,,,,,,,-7.93,112308,
1911,1,30,Tsunami,Earthquake,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,3,1335,Very Many (~1001 or more deaths),,,199.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),543,Many (~101 to 1000 houses),1335,Very Many (~1001 or more deaths),,,199.0,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),543,Many (~101 to 1000 houses),14002,120993,
1917,1,1,,,Lengai, Ol Doinyo,Africa-E,Tanzania,2890,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-2751,35902
1921,11,26,,,Nasu,Honshu-Japan,Japan,1917,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,37.12,139.97,
1933,5,10,,,Hakone,Honshu-Japan,Japan,1438,Complex volcano,Radiocarbon,,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,35.22,139.02,
1941,9,21,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-8108,112.92,
1944,6,23,,,Usu,Hokkaido-Japan,Japan,731,Stratovolcano,Historical,2,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,42.53,140.83,
1947,11,2,,,Hekla,Iceland-S,Iceland,1491,Stratovolcano,Historical,4,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,63.98,-19.7,
1976,8,3,,,Kusatsu-Shirane,Honshu-Japan,Japan,2176,Stratovolcano,Historical,,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,36.62,138.55,
1979,7,5,,,Etna,Italy,Italy,3350,Stratovolcano,Historical,2,9,Few (~1 to 50 deaths),,,23.0,Few (~1 to 50 deaths),,,,,9,Few (~1 to 50 deaths),,,23.0,Few (~1 to 50 deaths),,,,,37734,15004,
1982,5,17,,,Galunggung,Java,Indonesia,2168,Stratovolcano,Historical,4,68,Some (~51 to 100 deaths),,,,,15.0,SEVERE (~>$5 to $24 million),,,68,Some (~51 to 100 deaths),,,,,15,SEVERE (~>$5 to $24 million),,,-7.25,108.05,
1988,7,6,,,Arenal,Costa Rica,Costa Rica,1657,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,10463,-84703,
2005,11,24,,,Karthala,Indian O-W,Comoros,2361,Shield volcano,Historical,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,,Few (~1 to 50 deaths),,,,,,LIMITED (roughly corresponding to less than $1 million),,,-11.75,43.38,
2010,12,28,,,Tengger Caldera,Java,Indonesia,2329,Stratovolcano,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,,-7942,112.95,
200,,,,,Arhab, Harra of,Arabia-S,Yemen,3100,Volcanic field,Historical,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,15.63,44.08
640,,,,,Uwayrid, Harrat,Arabia-W,Saudi Arabia,1900,Volcanic field,Anthropology,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,27.08,37.25
1169,2,11,Tsunami,,Etna,Italy,Italy,3350,Stratovolcano,Historical,,,,,,,,,,,,,,,,,,,,,,37734,15004,
1600,2,19,,Earthquake,Huaynaputina,Peru,Peru,4850,Stratovolcano,Historical,6,1500,Very Many (~1001 or more deaths),,,,,,,,,1500,Very Many (~1001 or more deaths),,,,,,,,,-16608,-70.85,
1629,,,,,Grimsvotn,Iceland-NE,Iceland,1725,Caldera,Historical,2,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,64.42,-17.33,
1717,8,4,,,Bardarbunga,Iceland-NE,Iceland,2000,Stratovolcano,Historical,3,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,64.63,-17.53,
1778,,,,,Raikoke,Kuril Is,Russia,551,Stratovolcano,Historical,4,15,Few (~1 to 50 deaths),,,,,,,,,15,Few (~1 to 50 deaths),,,,,,,,,48292,153.25,
1789,,,,,Oshima,Izu Is-Japan,Japan,758,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,,,,,Few (~1 to 50 deaths),,,,,,,,,34.73,139.38,
1805,8,11,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,2,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,40821,14426,
1829,,,,,Guntur,Java,Indonesia,2249,Complex volcano,Historical,2,,Many (~101 to 1000 deaths),,,,,,,,,,Many (~101 to 1000 deaths),,,,,,,,,-7.13,107.83,
1837,9,,Tsunami,Earthquake,Peuet Sague,Sumatra,Indonesia,2801,Complex volcano,Historical,,,,,,,,,,,,,,,,,,,,,,4914,96329,
1853,10,29,Tsunami,,Unnamed,Taiwan-E of,Taiwan,0,Submarine volcano,Historical,2,,,,,,,,,,,,,,,,,,,,,24.0,121.83,
1854,2,,,,Aso,Kyushu-Japan,Japan,1592,Caldera,Historical,2,3,Few (~1 to 50 deaths),,,,,,,,,3,Few (~1 to 50 deaths),,,,,,,,,32.88,131.1,
1860,4,,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,2,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,,,Few (~1 to 50 houses),-8108,112.92,
1871,4,30,Tsunami,Earthquake,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,2,,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),,Few (~1 to 50 deaths),,,,,,SEVERE (~>$5 to $24 million),,Many (~101 to 1000 houses),9203,124673,
1875,3,29,,,Askja,Iceland-NE,Iceland,1516,Stratovolcano,Historical,5,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,65.03,-16.75,
1886,1,11,,,Tungurahua,Ecuador,Ecuador,5023,Stratovolcano,Historical,4,2,Few (~1 to 50 deaths),,,,,,,,,2,Few (~1 to 50 deaths),,,,,,,,,-1467,-78442,
1886,6,10,,,Okataina,New Zealand,New Zealand,1111,Lava dome,Historical,2,153,Many (~101 to 1000 deaths),,,,,,,,,153,Many (~101 to 1000 deaths),,,,,,,,,-38.12,176.5,
1893,1,7,,,Calbuco,Chile-S,Chile,2003,Stratovolcano,Historical,4,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,,,,,,,,LIMITED (roughly corresponding to less than $1 million),,,-41326,-72614,
1951,12,4,,,Camiguin,Mindanao-Philippines,Philippines,1332,Stratovolcano,Historical,3,500,Many (~101 to 1000 deaths),1500.0,Very Many (~1001 or more deaths),,,,,,,500,Many (~101 to 1000 deaths),1500.0,Very Many (~1001 or more deaths),,,,,,,9203,124673,
1953,3,11,Tsunami,,Myojun Knoll,Izu Is-Japan,Japan,360,Submarine volcano,Holocene,2,,,,,,,,,,,,,,,,,,,,,32.1,139.85,
1957,7,,,,Unzen,Kyushu-Japan,Japan,1500,Complex volcano,Historical,,13,Few (~1 to 50 deaths),,,,,,,,,13,Few (~1 to 50 deaths),,,,,,,,,32.75,130.3,
1981,3,29,,,Semeru,Java,Indonesia,3676,Stratovolcano,Historical,3,1,Few (~1 to 50 deaths),,,,,,,,,1,Few (~1 to 50 deaths),,,,,,,,,-8108,112.92,
1993,1,21,,,Wurlali,Banda Sea,Indonesia,868,Stratovolcano,Historical,,1,Few (~1 to 50 deaths),,,12.0,Few (~1 to 50 deaths),,,,,1,Few (~1 to 50 deaths),,,12.0,Few (~1 to 50 deaths),,,,,-7125,128675,
1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,1486,Stratovolcano,Historical,1,4,Few (~1 to 50 deaths),,,,,,,,,4,Few (~1 to 50 deaths),,,,,,,,,15.13,120.35,
1996,8,10,,,Kanlaon,Philippines-C,Philippines,2435,Stratovolcano,Historical,2,3,Few (~1 to 50 deaths),,,18.0,Few (~1 to 50 deaths),,,,,3,Few (~1 to 50 deaths),,,18.0,Few (~1 to 50 deaths),,,,,10412,123132,
2013,5,7,,,Mayon,Luzon-Philippines,Philippines,2462,Stratovolcano,Historical,,5,Few (~1 to 50 deaths),,,8.0,Few (~1 to 50 deaths),,,,,5,Few (~1 to 50 deaths),,,8.0,Few (~1 to 50 deaths),,,,,13257,123685,
